ticker,timeframe,signal_date,divergence_type,signal_close,entry_date,entry_price,first_peak_price,second_peak_price,first_peak_rsi,second_peak_rsi
TROW,1w,2022-06-19,Bullish,106.68,2022-06-26,121.5,136.33,106.68,20.445696974909055,24.813757603368757
TRV,1d,2024-02-22,Bearish,222.3,2024-02-23,220.96001,214.82001,222.3,79.00985947332275,77.90374368822629
TRV,3d,2024-04-05,Bearish,230.89,2024-04-08,224.38,222.3,230.89,89.97217912298245,80.08559475696651
TSCO,1d,2024-03-21,Bearish,53.234,2024-03-22,52.594,50.864,53.234,77.3279477269225,76.59375988704923
TSCO,3d,2024-05-17,Bearish,57.134,2024-05-20,56.552,52.594,57.134,78.26027548919065,76.35844780167689
TT,3d,2024-05-23,Bearish,337.92001,2024-05-26,328.31,304.67001,337.92001,77.69548841046502,76.4402423759456
TTD,1d,2025-04-08,Bullish,45.27,2025-04-09,54.12,53.59,45.27,20.27538703541964,24.83795873509183
TTD,3d,2025-04-06,Bullish,45.27,2025-04-09,49.78,53.59,45.27,19.191337037276583,20.90418068499828
TXT,1d,2025-07-23,Bearish,87.21,2025-07-24,80.93,85.39,87.21,79.23597032545803,75.77767974418327
UHS,1d,2022-12-21,Bearish,142.0,2022-12-22,140.99001,132.73,142.0,76.62926965886787,76.30363306365183
UNH,1d,2021-12-29,Bearish,505.57999,2021-12-30,504.42999,494.38,505.57999,76.61394616384607,75.41017810103638
UPS,1d,2023-09-26,Bullish,151.89999,2023-09-27,152.41,156.57001,151.89999,21.861267018468254,24.030604016582743
URI,1d,2025-07-28,Bearish,899.46002,2025-07-29,882.23999,819.73999,899.46002,78.64538329021313,76.6238800624082
URI,1d,2025-01-08,Bullish,670.0,2025-01-10,670.94,710.94,670.0,22.26623535817346,22.30506975088059
VICI,3d,2021-04-27,Bearish,31.76,2021-04-30,31.7,29.22,31.76,76.35625550884946,75.5871524231526
VLO,3d,2022-06-06,Bearish,143.77,2022-06-09,140.50999,129.17999,143.77,77.58780305096488,77.19975420625794
VLTO,1w,2024-09-01,Bearish,112.43,2024-09-08,108.72,102.19,112.43,77.84369534736625,77.21756042600765
VRSK,3d,2023-06-19,Bearish,227.22,2023-06-22,224.35001,222.12,227.22,78.83673936394912,75.01308939003576
VRTX,1d,2022-01-14,Bearish,234.059998,2022-01-18,231.070007,223.45,234.059998,82.24227219529662,82.23091275220305
VZ,1d,2025-10-23,Bullish,38.4,2025-10-24,38.82,39.75,38.4,24.232290587008066,24.748115714462287
WAB,3d,2024-11-07,Bearish,200.69,2024-11-10,199.28,191.14999,200.69,75.79748912026513,75.31854973779407
WAT,1d,2021-02-02,Bearish,291.31,2021-02-03,281.26999,273.62,291.31,79.65647162905093,79.19067834962027
WBD,3d,2025-09-21,Bearish,19.56,2025-09-24,19.51,13.7,19.56,79.78630518015447,78.93046104409498
WELL,1d,2025-03-03,Bearish,156.86,2025-03-04,153.89999,151.44,156.86,78.94604138485424,75.95428377399892
WELL,1w,2025-03-02,Bearish,153.50999,2025-03-09,147.45,138.2,153.50999,77.87169245578247,75.40352950310371
WM,1w,2021-10-24,Bearish,164.42,2021-10-31,160.23,155.39999,164.42,84.5855075437385,78.0724281584552
