divergence_type,total_trades,winning_trades,losing_trades,win_rate,total_pnl,avg_pnl,return_pct
Bullish,107,43,64,40.19,3227.92,30.17,3.02
Bearish,327,123,204,37.61,6351.54,19.42,1.89
