entry_date,ticker,total_pnl,cumulative_pnl,cumulative_return_pct
2021-01-08,ENPH,-50.0,-50.0,-5.0
2021-01-20,CINF,0.0,-50.0,-2.5
2021-01-28,TAP,-50.0,-100.0,-3.3333333333333335
2021-02-01,FDX,176.75,76.75,1.91875
2021-02-03,WAT,0.0,76.75,1.5350000000000001
2021-02-09,EBAY,76.3,153.05,2.5508333333333333
2021-02-09,NVR,0.0,153.05,1.4304085893675922
2021-02-14,SNPS,139.24,292.29,2.498260645108353
2021-02-17,KLAC,80.1,372.39,2.932264755026481
2021-02-17,ASML,85.58,457.96999999999997,3.3429101574190456
2021-02-17,TECH,66.81,524.78,3.5699951155598666
2021-02-25,KIM,-50.0,474.78,3.02412651419705
2021-03-04,CL,75.4,550.18,3.2945423102395606
2021-03-12,COP,70.67,620.8499999999999,3.507678643867085
2021-03-22,NWSA,-50.0,570.8499999999999,3.052716240974473
2021-04-21,AZO,0.0,570.8499999999999,2.8278618075429134
2021-04-22,ELV,-50.0,520.8499999999999,2.4583900318266756
2021-04-23,BAX,83.93,604.78,2.7258758991338476
2021-04-30,VICI,0.0,604.78,2.6083134979080618
2021-05-03,ETR,0.0,604.78,2.5004723684118044
2021-05-07,PPG,158.73,763.51,3.031409918675107
2021-05-09,REG,-50.0,713.51,2.724711045292961
2021-05-09,HD,0.0,713.51,2.6244885813357524
2021-05-09,OMC,112.61,826.12,2.9308931220227463
2021-05-09,ELV,0.0,826.12,2.830474090362608
2021-05-11,HD,0.0,826.12,2.7367082711783333
2021-05-11,ORLY,0.0,826.12,2.6489556582420097
2021-05-23,FITB,74.76,900.88,2.798926137964739
2021-05-23,MTB,136.42,1037.3,3.1256563260566077
2021-06-05,ADM,73.26,1110.56,3.2485214248962238
2021-06-06,RF,77.09,1187.6499999999999,3.3752877158170587
2021-06-13,F,69.65,1257.3,3.4744876768021777
2021-06-13,C,72.99,1330.29,3.5773341117493036
2021-06-13,SCHW,0.0,1330.29,3.4836538338156577
2021-06-13,MS,0.0,1330.29,3.3947547926422863
2021-06-13,GS,0.0,1330.29,3.3102800608062934
2021-06-17,TRGP,-50.0,1280.29,3.1085087563609846
2021-06-20,SPG,-50.0,1230.29,2.9163031036136333
