ticker,timeframe,divergence_type,signal_date,entry_date,entry_price,initial_shares,initial_capital,total_pnl,total_pnl_pct,num_exits,days_in_trade,result
ABBV,1d,Bearish,2024-02-07,2024-02-08,174.79,5.7212,1000.0,65.72,6.57,2,84,Win
CRWD,3d,Bearish,2024-02-08,2024-02-11,322.44,3.1014,1000.0,0.0,0.0,1,10,Breakeven
NOW,3d,Bearish,2024-02-08,2024-02-11,773.76,1.2924,1000.0,-50.0,-5.0,1,1,Loss
NOW,1d,Bearish,2024-02-09,2024-02-12,787.35,1.2701,1000.0,0.0,0.0,1,8,Breakeven
NFLX,1d,Bearish,2024-02-15,2024-02-16,58.4,17.1248,1000.0,-50.0,-5.0,1,10,Loss
CHRW,1d,Bullish,2024-02-20,2024-02-21,72.5,13.7931,1000.0,0.0,0.0,1,29,Breakeven
WRB,1d,Bearish,2024-02-22,2024-02-23,56.87,17.5829,1000.0,65.76,6.58,2,100,Win
TRV,1d,Bearish,2024-02-22,2024-02-23,220.96,4.5257,1000.0,-50.0,-5.0,1,29,Loss
SYK,1d,Bearish,2024-02-23,2024-02-26,352.46,2.8372,1000.0,34.16,3.42,1,104,Win
MRK,1d,Bearish,2024-02-23,2024-02-26,128.84,7.7616,1000.0,0.0,0.0,1,23,Breakeven
CB,1d,Bearish,2024-02-23,2024-02-26,254.84,3.924,1000.0,-50.0,-5.0,1,58,Loss
FTV,1d,Bearish,2024-02-28,2024-02-29,64.15,15.5879,1000.0,136.38,13.64,2,103,Win
NFLX,3d,Bearish,2024-02-29,2024-03-03,59.85,16.7084,1000.0,-50.0,-5.0,1,13,Loss
CBOE,1w,Bearish,2024-02-25,2024-03-03,187.02,5.347,1000.0,66.92,6.69,2,95,Win
